Title, Author, nationality, imprint, url
4 3 2 1 , Paul Auster,US, Faber & Faber,https://www.amazon.com/4-3-2-1-Novel/dp/1627794468/
Days Without End , Sebastian Barry,Ireland, Faber & Faber,https://www.amazon.com/Days-Without-End-Sebastian-Barry/dp/014311140X/
History of Wolves , Emily Fridlund,US, Weidenfeld & Nicolson,https://www.amazon.com/History-Wolves-Novel-Emily-Fridlund/dp/080212738X/
Exit West , Mohsin Hamid,Pakistan-UK, Hamish Hamilton,https://www.amazon.com/Exit-West-Novel-Mohsin-Hamid/dp/0735212171/
Solar Bones , Mike McCormack,Ireland, Canongate,https://www.amazon.com/Solar-Bones-Mike-McCormack/dp/1616958537/
Reservoir 13 , Jon McGregor,UK, 4th Estate,https://www.amazon.com/Reservoir-13-Novel-Jon-McGregor/dp/1936787709/
Elmet , Fiona Mozley,UK, JM Originals, https://www.amazon.com/Elmet-Fiona-Mozley/dp/1616208422/
The Ministry Of Utmost Happiness , Arundhati Roy,India, Hamish Hamilton, https://www.amazon.com/Ministry-Utmost-Happiness-novel/dp/1524733156/
Lincoln in the Bardo , George Saunders,US, Bloomsbury Publishing, https://www.amazon.com/Lincoln-Bardo-Novel-George-Saunders/dp/0812995341/
Home Fire , Kamila Shamsie,UK-Pakistan, Bloomsbury Circus, https://www.amazon.com/Home-Fire-Novel-Kamila-Shamsie/dp/0735217688/
Autumn , Ali Smith,UK, Hamish Hamilton, https://www.amazon.com/Autumn-Novel-Ali-Smith/dp/1101969946/
Swing Time , Zadie Smith,UK, Hamish Hamilton, https://www.amazon.com/Swing-Time-Novel-Zadie-Smith/dp/0143111647/
The Underground Railroad , Colson Whitehead,US, Fleet, https://www.amazon.com/Underground-Railroad-Novel-Colson-Whitehead/dp/0345804325/
