HistoryOfWolves	Emily Fridlund
This is a rites of passage type book, a young person dealing with and learning about life	Sto
Madeline, Linda, Mattie is fourteen in eighth grade, living in the North Woods in northern Minnesota	Sum
She is not popular with her peers,lives in a small rundown house close to a lake	Sum
Her parents were members of a commune when she was born	Sum
The commune broke apart several years ago, Linda's best friend left with her parents	Sum
The only ones to stay is Madeline and her mom and dad	Sum
Linda is an only child	Sum
The author seems to like the number eleven	Sum
Paul is four, Linda, fifteen,Mom, Patra is twenty-six, Dad, Leo is thirty-seven	Sum
The story is told by Linda until the time she is thirty-seven	Sum
The book drifts between times, but stays mostly in times when Mattie is 14/15	Sum
The girls mind goes back in forth in time,younger and older	Sum
The North Woods is gorgeous and Mattie knows all parts of the area where she lives	Sum
Mr Fridlunds's writing is beautiful about the natural world, and seems to know the feelings of a young girl growing up and having to deal with mean girls	WS
Linda lives about five miles from the small town and sees very few people, her parents being among them	Sum
Then across the lake a summer home is being built	Sum
Into her life comes four year old Paul and Patra, his mom	Sum
Father is an astronomy professor, working in Hawaii	Sum
Patra hires Linda as a governess for her son, a young person to keep the boy occupied while she does some writing for her husband's science projects	Sum
Madeline becomes close with this family, possibly too close	Sum
She seems to want to stay when Leo wants her to leave the three to enjoy each other	Sum
Or do they? Patra seems too young and immature to be a mom, Leo too domineering	Sum
Madeline writes to her former eighth grade teacher, Mr Grierson, over the years	Sum
The two keep in touch	Sum
Mr Grierson, coming from California, asked Mattie to do something about local history	Sum
"She chose to write ""The History of Wolves"""	Sum
This book won several awards, this is why I chose to read it	Rev
Teen age Linda is so much like girls her age	Char
Bored, depressed, wanting more from life than she is getting in this time and place	Char
Mr Grierson is the only person Linda has kept in touch with over the years	Sum
She is thirty-seven when her story ends	Sum
At age thirty-seven, Madeline is still just drifting through life	Sum
When Maddie was a child and a teenager, her parents, especially her mother, seemed to want to be close to their daughter, but didn't know how to be warm and tender	Sum
