LincolnInTheBardo	George Saunders
What’s it about? 	Sto
So this book is truly different- beginning with what's a bardo?	Sto
The definition of bardo: (in Tibetan Buddhism) a state of existence between death and rebirth, varying in length according to a person's conduct in life and manner of, or age at, death	O
This whole novel takes place in the bardo right after Willie Lincoln dies	Sum
It is 1862 and the Civil War is not going well	Sum
When 11 year-old Willie dies of typhus Mr. Lincoln is deeply depressed, and yet he knows that he is inflicting this same grief on so many families by sending their sons into battle	Sum
Literally we see his solitary grief juxtaposed along side the collective grief of a nation	Sum
The novel poses so many interesting questions, all seen through a motley cast of characters inhabiting the bardo with Willie Lincoln	Char
What did it make me think about?	Sto
By the end of this novel I was asking myself all kinds of questions	Rev
What exactly does happen when we die?	Sto
What about all our unresolved situations here on earth?	Sto
Do we only fully experience humanity as we interact with each other?	Sto
Are we all more important as a part of a whole than as individuals?	Sto
How responsible are we for our actions?	Sto
This novel gives us so much to think about…	Sto
Should I read it?	Rev
The format of this book may throw you for a loop but it is truly an amazing book! 	WS
It is just so different	WS
My advice is to just start reading and don’t stop	Rev
Patience will be required by some, and I am sure even with patience, some readers just won’t like this book	Rev
To be clear- at ten pages I was thinking, “what is this?”	Rev
Don’t over think it and the beauty, wit, and wisdom will come	Rev
